Claimed,Modified Date,Created Date,Created By,Logo,Name,Short description,Company size,Crunchbase,LinkedIn,Long description,Technical description,Website,Funding round,1 Founder Name,1 Founder Type,Key Features,CEO Name,Developer Help,Funding amount,Number of clients,N1 verified,Client,Demo,Profile completion,Date founded,Domain list,_id,2 Founder Name,3 Founder Name,2 Founder Type,3 Founder Type,Slug,4 Founder Type,4 Founder Name,Hidden,Claimed by,Policy list
True,2024-07-29T14:47:59.124Z,2024-06-27T16:33:02.042Z,admin_user_nayaone-compass_test,https://nayaone.s3.eu-west-1.amazonaws.com/public/fintech/345/logo_1693842536888.png,Kount (Equifax Company),"Kount is a fintech platform that provides fraud detection software, payment fraud detection, identity solutions, and ecommerce fraud prevention.",51-200,https://www.crunchbase.com/organization/kount,https://www.linkedin.com/company/kount,"Kount’s fraud detection software and prevention tools are leading e-commerce and reducing fraud risk. Large and small businesses across industries can Identify good customers and fraudsters, Assess known and emerging risks, Engage with the right product offerings, Grow revenue opportunities, and Comply with regulations.","Kount’s Identity Trust Global Network™ is the largest data network of fraud and trust-related signals. It links unique fraud and trust identifiers from billions of annual interactions and decisions from thousands of fraud analysts to block or challenge fraud in real time. Kount’s advanced AI uses two types of machine learning to produce reliable transaction safety ratings in real time. Supervised machine learning evaluates past interaction decisions, and unsupervised machine learning detects emerging fraud attacks. Quickly and accurately weigh fraud risks against a customer’s value. ",https://kount.com,Private Equity,Brad Wiskirchen,Founder,"Fraud Detection Software:  Kount's fraud detection software uses machine learning to identify more fraud with fewer false positives. This solution is useful for businesses that need to prevent fraud and minimize risk for entire merchant portfolios.  

Payment Fraud Detection:  Kount's payment fraud detection solution protects online stores from unauthorized transactions, friendly fraud, and more. This solution is useful for businesses that need to prevent payment fraud and minimize risk.  

Identity Solutions:  Kount's identity solutions provide a complete trust and safety strategy for identity. This solution is useful for businesses that need to evaluate billions of data points to determine if an individual interacting with their business is good, bad, or questionable.  Ecommerce

Fraud Prevention:  Kount's ecommerce fraud prevention solution protects online merchants from credit card fraud, affiliate fraud, chargeback fraud, account takeovers, and more. This solution is useful for businesses that need to prevent fraud and minimize risk for their ecommerce business.  

Machine Learning:  Kount's platform uses machine learning to identify more fraud with fewer false positives. This solution is useful for businesses that need to prevent fraud and minimize risk for entire merchant portfolios.  

Customizable Solutions:  Kount can customize its solutions to fit a business's individual needs. This solution is useful for businesses that need to create a unique fraud prevention system that fits their specific needs ",test,"Check out our documentation tab above. 
For further information see: 
Documentation:  Kount Documentation 
Note: To access fintechs via SDK, please reach out to us",$80M,0,True,[],[],88.0,2024-07-08T23:00:00.000Z,[],1719505982042x168520164131649150,,,,,,,,,,
,2024-07-24T10:25:43.948Z,2024-06-27T16:33:02.053Z,admin_user_nayaone-compass_test,https://nayaone-uat.s3.eu-west-1.amazonaws.com/public/fintech/symphonyai/logo_1715182338125.webp,SymphonyAI,"SymphonyAI is a fintech company that leverages AI to optimize supply chain performance and enhance decision-making in retail, financial services, and other sectors.","1,001-5,000",https://www.crunchbase.com/organization/symphonyai,https://www.linkedin.com/company/symphonyai/," Founded in 2017 and headquartered in Palo Alto, California (Silicon Valley), SymphonyAI has more than 3,000 employees in 18 countries. The company has grown from a group of acquired companies and in-house-developed offerings in 2017 into one of the leading enterprise AI software companies. SymphonyAI offers high value AI SaaS to address specific business problems and today operates in seven vertical industries: financial, retail, CPG, manufacturing, media, the public sector, and IT.  SymphonyAI acquired NetReveal, the financial crime solutions business of BAE Systems, in 2022. The NetReveal AML solutions were originally developed by Norkom Technologies, which was itself acquired by BAE Systems in 2011. In 2023, SymphonyAI joined their NetReveal and Sensa businesses to form Sensa-NetReveal, the financial crime division of SymphonyAI. The Sensa-NetReveal transaction monitoring suite combines technology from both parts of the business. As has been widely reported in the media, “Our plans are to take the company (Symphony AI) public in the next one to two years and to diversify the cap table”.  For SymphonyAI Sensa-NetReveal our plans are to continue to focus on FinCrime solutions for Financial Services companies. We plan to provide even more ground-breaking solutions that address the evolving challenges of our customers (for example we were the first to launch a working generative AI powered investigation tool, Sensa Copilot). As part of this we intend to leverage our posit.","Sensa Augmentation and Investigation Hub - A single, enterprise-wide solution for all your investigative needs – powered by generative AI. Detection agnostic and configurable to any use case, business unit, or asset class, Investigation Hub centralizes financial crime risk across business units for an entity-centric view of risk.",https://www.symphonyai.com/,,Romesh Wadhwani,Co-founder,"AI-Powered Solutions: SymphonyAI's solutions are powered by AI and machine learning, enabling businesses to automate processes, improve decision-making, and enhance customer experiences. 
Fraud Detection: SymphonyAI's fraud detection solutions use AI to detect and prevent fraudulent activities in financial transactions. 
Risk Management: SymphonyAI's risk management solutions use AI to identify and mitigate risks in financial transactions. 
Customer Engagement: SymphonyAI's customer engagement solutions use AI to personalize customer experiences and improve customer satisfaction. 
Supply Chain Optimization: SymphonyAI's supply chain optimization solutions use AI to optimize supply chain operations and improve efficiency.",Prateek Kathpal,,,5,,"['1720103434810x119754129417420030', '1720103436013x977688512979946000', '1720103436055x928105020222214000', '1720103436282x430587227014374000', '1720103436344x388981277791793340']",,65.0,,,1719505982053x626795406572066700,,,,,,,,,,
,2024-07-24T10:22:19.034Z,2024-06-27T16:33:02.054Z,admin_user_nayaone-compass_test,https://nayaone-uat.s3.eu-west-1.amazonaws.com/public/fintech/thetaray/logo_1714664351408.webp,ThetaRay,AI-Powered Transaction Monitoring - Creating Trust in Global Payments for Fintechs and Banks.,101-250,https://www.crunchbase.com/organization/thetaray,https://www.linkedin.com/company/thetaray/," SONAR, ThetaRay’s AI-powered AML transaction monitoring and screening solution, enables fintechs, banks, and regulators to embed trust in cross-border and domestic payments while driving financial growth.",ThetaRay uses proprietary and patented algorithms to efficiently detect anomalies in unlimited data sets and reliably pinpoint suspected cases of money laundering in transactions with virtually no false positives.,https://www.thetaray.com/,Series D,Amir Averbuch,Co-founder,"SONAR is a cloud-native SaaS solution for fintechs, utilizing ""artificial intelligence intuition"" and proprietary algorithms to detect and prevent money-laundering and other financial crimes. It dynamically analyzes data without predefined scenarios, monitoring customer and partner activities to detect known and unknown threats, prohibited activity, and payments to sanctioned entities. The solution provides real-time data visualizations and is designed to expand business opportunities through trusted and reliable payments for banks and fintechs. ThetaRay's SONAR has been adopted by various organizations, including banks and fintechs, to monitor and screen payments in different regions, such as Nigeria and Mexico.",,,,6,,"['1720103434800x621761092717628900', '1720103435294x441855002884430140', '1720103436027x535706310931638200', '1720103436417x924615413911882100', '1720103436434x322486922656084500', '1720103436445x528209049768458200']",,71.0,,,1719505982054x383117553014104900,Mark Gazit,Ronald Coifman,Co-founder,Co-founder,,,,,,
,2024-07-17T14:27:55.878Z,2024-06-27T16:33:02.076Z,admin_user_nayaone-compass_test,https://nayaone-uat.s3.eu-west-1.amazonaws.com/public/fintech/tango-card/logo_1714128330070.webp,Tango Card,"Tango Card simplifies rewards management by offering a centralized platform for ordering, sending, and tracking rewards, including digital gift cards, to drive results efficiently.",101-250,,,"Tango Card provides a seamless solution for sending and tracking rewards and gifts to customers and employees. Their platform integrates with various systems to automate reward delivery, making it convenient and effective. Tech Description  Tango Card's technology enables the easy integration of a digital gift card catalog through their Rewards as a Service (RaaS®) API, allowing for automated reward delivery within different applications or platforms.","Tango Card's technology enables the easy integration of a digital gift card catalog through their Rewards as a Service (RaaS®) API, allowing for automated reward delivery within different applications or platforms.

Attributes:

Reward Management Simplification: Tango Card streamlines the process of ordering, sending, and tracking rewards through their platform, making it convenient for users to manage incentives effectively.
Digital Gift Card Integration: The platform offers a wide range of digital gift cards that can be easily integrated into various systems, providing recipients with a diverse selection of rewards.
Automation Capabilities: Tango Card's technology allows for the automation of reward delivery within CRM systems, marketing automation software, and other platforms, enhancing efficiency in incentive distribution.
Customization Options: Users can customize email templates with branding and personalized messages, offering a tailored experience for both senders and recipients.
Reporting Tools: The platform provides robust reporting features that enable users to download and organize reports at different levels, facilitating better decision-making based on reward data.",https://www.tangocard.com/,Private Equity,David Leeds,Founder,,David Leeds,,$64.8M,1,,['1720103436011x227899127180143800'],,59.0,,,1719505982076x629068404728775200,,,,,,,,,,
,2024-07-17T14:27:56.379Z,2024-06-27T16:33:02.085Z,admin_user_nayaone-compass_test,https://nayaone-uat.s3.eu-west-1.amazonaws.com/public/fintech/parcha/logo_1715243570058.webp,Parcha,"Parcha is a fintech company that leverages AI technology to automate manual workflows in compliance and operations, enabling businesses to scale faster.",1-10,https://www.linkedin.com/company/parcha-ai/,https://www.linkedin.com/company/parcha-ai/,"Parcha is building enterprise-grade AI Agents that instantly automate manual workflows in compliance and operations using procedures and tools. The company's platform makes it possible for any business to create AI Agents to intelligently automate removing bottlenecks and empower businesses to scale, starting with the fintech industry. ","Parcha's AI agents are designed to handle tasks such as customer onboarding, compliance reviews, and other repetitive workflows that often bog down operations and compliance teams. The platform allows businesses to easily customize and configure compliance checks to match their risk policies and thresholds and provides real-time analytics on compliance outcomes across their portfolio. 



Tech Attributes

Automation: Parcha's AI agents automate the time-consuming process of manually reviewing customers during onboarding, enabling businesses to approve more customers faster
Customization: Parcha allows businesses to easily customize and configure compliance checks to match their specific risk policies and thresholds
Analytics: The platform provides real-time analytics on compliance outcomes across a business's portfolio, enabling better decision-making and more efficient operations.
Integration: Parcha's KYB APIs and integrations allow businesses to quickly integrate the platform with their existing systems, getting up and running in days rather than months.",https://www.parcha.com/,Seed,AJ Asver,Founder and CEO,,AJ Asver,,5M,0,,,,65.0,,,1719505982085x437926185417500500,,,,,parcha,,,,,
,2024-07-16T18:08:50.500Z,2024-06-27T16:33:02.109Z,admin_user_nayaone-compass_test,https://nayaone-uat.s3.eu-west-1.amazonaws.com/public/fintech/middesk/logo_1713972236230.webp,Middesk,"With a suite of identity products, Middesk helps companies across the US verify their commercial customers, while making it easy for growing companies to register with state agencies.",51-100,https://www.crunchbase.com/organization/middesk,https://www.linkedin.com/company/middesk,"Problem

Too much time and money is spent manually verifying business customers to satisfy compliance requirements and mitigate risk. This results in a degraded customer experience and drop-off in customer conversions.



Solution

Middesk offers instant access to the data and documents needed to know and monitor your business customers. This process mitigates risk and eliminates friction throughout your customers' lifecycles.

Benefits

Increase conversion: Convert more business customers and quickly generate revenue through automated, accurate business verification processes at onboarding and beyond
Digitize onboarding: Stay competitive and retain business customers by building a digital onboarding experience, minimizing application time and reducing drop-off rates
Modernize compliance: Verify businesses' identities with best-in-class data quality and freshness, satisfying comprehensive Know your Business (KYB) requirements with confidence throughout a customer's lifecycle","How it works

Know and monitor your business customers: Instantly access everything you need to know about a business (KYB) and its associated people (KYC) to quickly transact with your business customers throughout their lifecycle
Retrieve documentary evidence: Automatically source supporting evidence such as Articles of Incorporation and Certificate of Good Standing for your Customer Identification Program (CIP), reducing back-and-forth with your customers
Minimize risk exposure: Automate Customer Due Diligence (CDD) requirements and identify high-risk entities by classifying a business' industry and screening them for adverse media, U.S. and global watchlist hits and sanctions, and politically exposed persons (PEP)
Automate with easy-to-integrate APIs: Build delightful customer experiences by integrating quickly with our API, or get started immediately with our dashboard",https://www.middesk.com,Series B,Kyle Mack,Co-founder,,Kyle Mack,,$77M,1,,['1720103435232x970354234566975700'],,71.0,,,1719505982109x650805354635668700,Kurt Ruppel,,Co-founder,,middesk,,,,,
,2024-07-29T15:03:13.942Z,2024-06-27T16:33:02.121Z,admin_user_nayaone-compass_test,https://nayaone-uat.s3.eu-west-1.amazonaws.com/public/fintech/flybits/logo_1714404154870.webp,Flybits,"Flybits enables enterprises to create and deepen customer engagement by delivering personalized, context-relevant experiences and engagement across the customer lifecycle.",101-250,https://www.crunchbase.com/organization/flybits,https://www.linkedin.com/company/flybits,"Flybits helps financial institutions scale digital value by mobilizing data as a strategic asset and creating multidimensional, enterprise-grade customer experiences that drive loyalty and business results. They do this by harnessing the power of customers’ individual contexts to establish consent-based, participatory relationships with their financial institutions.

Flybits is the leading customer experience platform for the financial services sector, delivering personalization at scale. With the most advanced capabilities in the market, its enterprise-level solution brings relevant content, products, offers, and information to a bank’s digital channels based on what each individual customer needs in the moments that matter. With Flybits, banks are able to design, launch, and measure data-driven consumer experiences that deliver the right information to the right customer at the right time, while preserving their privacy.","Flybits' technology is built on AI-powered data analytics and machine learning. The platform collects data from multiple sources, such as mobile apps and IoT devices, to create rich customer profiles. Using this data, Flybits enables businesses to design personalized and contextually relevant content and experiences for their users. The technology employs real-time data processing to deliver content at the right time and place, providing customers with hyper-personalized interactions. Flybits' privacy-focused approach ensures data security while helping companies drive customer engagement, loyalty, and business growth through personalized experiences.",https://flybits.com/,Series C,Hossein Rahnama,Co-founder,"•	AI-powered Data Analytics & 
      Machine Learning 

•	Real-time Data Processing

•	Customer Segmentation

•	Context-Aware Personalization

•	Hyper-personalization
",Hossein Rahnama,,$55M,3,,"['1720103435333x633396254138459900', '1720103435644x307664681882543940', '1720103436416x299962425764340540']",,71.0,2013-05-25T12:19:00.000Z,,1719505982120x154549501014767260,Gerti Dervishi,,Co-founder,,flybits,,,,,
,2024-07-29T14:25:50.390Z,2024-06-27T16:33:02.131Z,admin_user_nayaone-compass_test,https://nayaone-uat.s3.eu-west-1.amazonaws.com/public/fintech/pinwheel/logo_1713971254090.webp,Pinwheel,"Pinwheel’s mission is to help banks achieve and defend primacy. We’re partnering across the financial ecosystem to bring together payroll providers, banking platforms, and other fintechs to develop game changing, customer-first approaches to solving activation and engagement challenges that have prevented you from achieving maximum efficacy on your primacy programs.",51-100,https://www.crunchbase.com/organization/pinwheel-7871,https://www.linkedin.com/company/pinwheelhq,"Pinwheel provides income data engineered for fintech innovation. By making sense of real-time income and employment data, Pinwheel enables financial institutions and fintechs to become the primary bank, reduce risk, and activate users. Our solutions power use cases like direct deposit switching, income and employment verification, earned wage access, and more. With a secure platform focused on real consumer challenges, we are helping to build a fairer financial system. ","Pinwheel is a well-designed and secure platform that can be used by businesses of all sizes to manage their digital assets. The platform's API-first architecture and microservices architecture make it easy to integrate with other systems, and its cloud-based infrastructure makes it scalable and reliable. Attribute : Pinwheel Earnings Stream-:Pinwheel doesn’t just deliver earnings data and leave it up to you to complete the rest of the puzzle. We provide insights into your customer’s income. Pinwheel Taxes-: Automate the tax form retrieval process to help build solutions that make taxes less of a hassle for your customers. Pinwheel Digital-:Accelerate digital product strategies and adoption Enhance account funding and verification options with a digital solution that’s both easy to implement and exceptionally capable.",https://www.pinwheelapi.com/,Series B,Anish Basu,Co-founder,"•	Pinwheel Earnings Stream-:Pinwheel doesn’t just deliver earnings data and leave it up to you to complete the rest of the puzzle. We provide insights into your customer’s income.
•	Pinwheel Taxes-: Automate the tax form retrieval process to help build solutions that make taxes less of a hassle for your customers.
•	Pinwheel Digital-:Accelerate digital product strategies and adoption Enhance account funding and verification options with a digital solution that’s both easy to implement and exceptionally capable.

",,https://docs.pinwheelapi.com/public/docs/getting-started,77M ,1,True,['1720103436041x898776751889679600'],"['//5a5b99b0f32986bf94851af0e30fa7d7.cdn.bubble.io/f1720455588337x931973988694085600/pinwheel-1.png', '//5a5b99b0f32986bf94851af0e30fa7d7.cdn.bubble.io/f1720455594805x353402020961451260/pinwheel-2.png', '//5a5b99b0f32986bf94851af0e30fa7d7.cdn.bubble.io/f1720455603101x561111829317541440/pinwheel-3.png', '//5a5b99b0f32986bf94851af0e30fa7d7.cdn.bubble.io/f1720455610187x756547905638152000/pinwheel-4.png', '//5a5b99b0f32986bf94851af0e30fa7d7.cdn.bubble.io/f1720455615645x227800104271394850/pinwheel-5.png', '//5a5b99b0f32986bf94851af0e30fa7d7.cdn.bubble.io/f1720455621046x451368572143896450/pinwheel-6.png', '//5a5b99b0f32986bf94851af0e30fa7d7.cdn.bubble.io/f1720455625919x796438072705843300/pinwheel-7.png', '//5a5b99b0f32986bf94851af0e30fa7d7.cdn.bubble.io/f1720455630583x441349666807984600/pinwheel-8.png']",71.0,2018-05-22T12:18:00.000Z,,1719505982131x604503457945859700,Curtis Lee,Kurtis Lin,Co-founder,Co-founder,pinwheel,,,,,
,2024-07-17T14:27:56.296Z,2024-06-27T16:33:02.140Z,admin_user_nayaone-compass_test,https://nayaone.s3.eu-west-1.amazonaws.com/assets/jumio-2a24942e-7600-4c27-92d5-bb4676623359.jpg,Jumio,"Jumio is a fintech company that provides end-to-end ID and identity verification solutions to fight fraud, maintain compliance, and onboard good customers faster.","1,001-5,000",https://www.crunchbase.com/organization/jumio,https://www.linkedin.com/company/jumio-corporation/about,"Jumio is a leading provider of AI-powered end-to-end identity verification and eKYC solutions. Their mission is to make the internet a safer place by protecting the ecosystems of businesses through a unified platform. Jumio's KYX Platform offers a range of identity proofing and AML services to accurately establish, maintain, and reassert trust from account opening to ongoing transaction monitoring. Jumio is an online mobile payments and identity verification company that provides card and ID scanning and validation products for mobile and web transactions, which they sell as ""Netverify Trusted Identity as a Service"". Leveraging advanced technology including automation, biometrics, AI/machine learning, liveness detection and no-code orchestration with hundreds of data sources, Jumio helps organizations fight fraud and financial crime, onboard good customers faster and meet regulatory compliance including KYC and AML.  ","Jumio's platform uses advanced technology including AI, biometrics, machine learning, liveness detection, and automation to help organizations fight fraud and financial crime, onboard good customers faster, and meet regulatory compliance including KYC, AML, and GDPR. Their solutions are customizable and can be integrated with existing systems to provide a seamless user experience. ",https://www.jumio.com,Private Equity,Daniel Mattes,Co-founder,"End-to-End ID and Identity Verification Solutions:  Jumio provides end-to-end ID and identity verification solutions to fight fraud, maintain compliance, and onboard good customers faster. AI-Powered Solutions:  Jumio's platform uses advanced technology including AI, biometrics, machine learning, liveness detection, and automation to help organizations fight fraud and financial crime. Customizable Solutions:  Jumio's solutions are customizable and can be integrated with existing systems to provide a seamless user experience. Identity Proofing and AML Services:  Jumio's KYX Platform offers a range of identity proofing and AML services to accurately establish, maintain, and reassert trust from account opening to ongoing transaction monitoring. Streamlining the Onboarding Process:  Jumio's custom onboarding software offers fast, accurate online identity verification to streamline the onboarding process and keep bad actors out for good. Real-Time ID and Identity Verification:  Jumio enables real-time ID and identity verification to enhance security profiles and verify a user is who they say they are. Advanced Technology:  Jumio leverages advanced technology including AI, biometrics, machine learning, liveness detection, and automation to help organizations fight fraud and financial crime ",,"Check out our documentation tab above. 
For further information see documentation:  https://docs.jumio.com/production/Content/Home.htm 
Note: To access fintechs via SDK, please reach out to us",205.4M,2,,"['1720103436027x648297994575910400', '1720103436392x371749847662588860']",,82.0,,,1719505982140x152159417805949300,Robert Prigge,,Co-founder,,jumio,,,,,
,2024-07-17T14:27:56.884Z,2024-06-27T16:33:02.141Z,admin_user_nayaone-compass_test,https://nayaone-uat.s3.eu-west-1.amazonaws.com/public/fintech/atomic/logo_1713971653367.webp,Atomic,Atomic is an online platform that specializes in lending and financial services.,101-250,https://www.crunchbase.com/organization/atomic-fi,https://www.linkedin.com/company/atomic-fi,"Atomic FI is a technology company that builds products that drive consumer engagement in financial services. It plans on launching a series of products, the first of which will be a balance transfer product for Credit Cards, HELOC's, and potentially auto loans.","Atomic FI's platform allows users to connect their payroll account using their payroll credentials eliminating frauds and manual processes through multi-step verification, enabling employees and businesses to conduct secure banking transactions efficiently. Today the process is extremely manual and error-prone and provides a poor user experience. They solve that by increasing the speed of the payoff by 4-5x, and providing a user experience that far exceeds anything currently in the market.",https://atomic.financial,Series B,Jordan Wright,Co-founder,"Atomic Swaps: Atomic swaps allow users to trade cryptocurrencies directly with each other, without the need for a third party. This makes trading more secure and private. Non-custodial wallets: Atomic.Finance does not hold users' funds. This means that users have full control over their own money. Multi-factor authentication: Atomic.Finance uses multi-factor authentication to protect users' accounts. This means that users need to enter two different factors, such as a password and a code from their phone, to log in. Cold storage: Atomic.Finance stores a portion of its users' funds in cold storage. This means that these funds are not connected to the internet, which makes them more secure. Audited code: Atomic.Finance's code has been audited by independent security firms. This means that the code has been reviewed for vulnerabilities",,Check out our documentation tab above. For further information see: Documentation Transact SDK Reference | Atomic Docs (atomicfi.com),,1,,['1720103436324x199139911711710080'],,76.0,,,1719505982141x638041524157055900,Scott Weinert,,Co-founder,,atomic,,,,,
